language,glottocode,id_word,id_meaning,lemma,ipa,def,morph,annotator,reference,pos
Tsez,dido1241,1,1,,,﻿А,,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,2,2,АБАБАЙ,a-b-a-b-a-j,"вводн. сл. конечно, естестенно; йеду гулу дебе йолъ? – Абабай, дей йолъ ? эта лошадь твоя [есть]? – Конечно, моя [есть]",,Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,3,3,АБАДИЙÁВ,a-b-a-d-i-j-Á-w,"вечный, бессмер т- ный; непреходящий ; абадийав гIумру вечная жизнь ♦ абадийав гъутку загробная жизнь, вечное пристани ще, вечный мир; тот свет (букв. вечный дом)",,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,4,4,АБАЗИН ÁВ,a-b-a-z-i-n Á-w,"I (-ä, -ес//-с) абази- нец","I (-ä, -ес//-с)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,5,5,АБАЗИН ÁВ/БИ,a-b-a-z-i-n Á-w-b-i,"мн. (-за, -зас) абазинцы; абазинавзас мец аба- зинский язык","(-за, -зас)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,6,6,АБАЗИН ÁЙ,a-b-a-z-i-n Á-j,"II (-ä, -ес//-с) аба- зинка","II (-ä, -ес//-с)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,7,7,АБАШНИ́ КI,a-b-a-ʃ-n-И́ k,"I (-ā, -ес, -би) кид. лесник, лесничий ; см. цихъкьоси","I (-ā, -ес, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,8,8,АБАШНИ́́К IЛЪ/И,a-b-a-ʃ-n-И́-́-k I-l-ʔ-i,"IV ( -ǟ, -ис) профессия (должность, работа) лесника (лесничьего) ÁБИ III (-ма, -мос, -би) погово р- ка; гIакълуйав аби умная пог о- ворка; умумзас аби поговорка предков; цезйас аби цезская (д и- дойская) поговорка; см. ки́ци , элIинокIу Á-БӢ III (-ма, -мос) алфавит, а з- бука; см. алип -бӣ, алпави́т","IV ( -ǟ, -ис)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,9,9,АБРАШ У́Н,a-b-r-a-ʃ У́-n,"IV (-йа, -йос, -йаби ) шелковые нитки; абрашунйос гъер (чеча ) кружево из шелковых ниток; гедо база бисхоси абра ш- ун шелковые нитки при меняются (используют ся) при вязании ше р- стяной обуви ; мок. арбаш ýн","IV (-йа, -йос, -йаби )",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,10,10,АБУР,a-b-u-r,"III (-йа, -йос, -би) уваж е- ние; абур бода уважать; см. адаб , адаб -хъатир, хIурмат","III (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,11,11,АБХАЗ,a-b-χ-a-z,абхазский; абхаз мец абхазский язык,,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,12,12,АБХАЗ ÁВ,a-b-χ-a-z Á-w,"I (-ä, -ес//-с) абхаз, абхазец АБХАЗ ÁВ/БИ мн. (-за, -зас) аб- хазы, абхазцы; абхазавзас мец аб- хазский язык","I (-ä, -ес//-с)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,13,13,АБХАЗ ÁЙ,a-b-χ-a-z Á-j,"II (-ä, -ес//-с) абхазка","II (-ä, -ес//-с)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,14,14,АБХАН /А,a-b-χ-a-n a,"I, II (-ā, -ас, -аби) уст. прия́тель , друг, товарищ; см. гьуд- ул, гьалмагъ, гьудул-гьалмагъ","I, II (-ā, -ас, -аби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,15,15,АБШИЖ И́ТИЙ/А,a-b-ʃ-i-ʒ И́-t-i-j-a,"IV (-ā, -ас, -аби) общежитие; истудентзас абшижи тийа студенческое общ е- житие ; абшижитийакьо гIумру бода жить в общежитии","IV (-ā, -ас, -аби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,16,16,АВ,a-w,"III (-ä, -ес//-с, -би) зоол. мышь; бежени (//лъарагIизйас ) ав крыса ( букв. большая // рав- нинная мышь); авс хъ ʼод мышиная норка; кьулукъʼ йā ав би хъир си мышеловка поймала мышь; авур бǟхъʼируце бахъ ʼа бǟти погов. букв. хотя глаза насытились, сер д- це не насыщается ( о стремлении человека к богатству – букв. жир- ному мышонку еще хочется ж и- реть) ; ав кушоно бäчи, хоцIи пI’апI’ару бäчи мышь бывает мо х- натая, а саранча – лысая; авäн ахъ’у кучин агъ’ур йутирно и мышь своей мочой крутила мел ь- ницу; авäкин элIнохъор шебин рутирхоси даже мышь запасается на зиму; авер бāхъ’ируце бахъ’а ретих оси мышь хочет стать еще более мохнатой; см. акъу , дохкIа, муха дохка","III (-ä, -ес//-с, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,17,17,АВАД ÁН,a-w-a-d Á-n,"нареч. весело, в вес е- лом настроении, жизнерадостно; авадан ич а быть (находиться ) с кем-либо в хороших взаим отнош е- ниях ; авадан ода делать веселым (жизнерадостным), развеселить ; см. аваданлъикь",,Maiia Alimova,Khalilov 2024,adverb
Tsez,dido1241,18,18,АВАДАН ÁВ,a-w-a-d-a-n Á-w,"веселый, жизнер а- достный; аваданаб мочи весёлое место; аваданав жекIу веселый человек (мужчина); аваданав гIа - дан веселый человек; веселая 31 женщина; аваданав гIумру весе- лая жизнь; аваданав охъа стать веселым (жизнерадостным) ; ава- данав ода делать веселым (жиз- нерадостным) ; развеселить",(жиз- нерадостным),Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,19,19,АВАД ÁНЛЪ/И,a-w-a-d Á-n-l-ʔ-i,"IV (-ǟ, -ис) 1) ве- селость, веселье; жизнерадос т- ность; аваданлъи рода а) разв е- селить, устроить веселье б) весе- литься 2) дружественное взаим о- отношение; аваданлъи рехура прервать хорошие взаимоотнош е- ния (веселье)","IV (-ǟ, -ис)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,20,20,АВАДАНЛЪИКЬ,a-w-a-d-a-n-l-ʔ-i-k,"нареч . весело, в веселом настроении, жизнерадо с- тно; аваданлъикь бича жить в дружбе (в согласии); аваданлъикь гIумру бода жить весело (жизн е- радостно)",(жизн е- радостно),Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,21,21,АВÁЛ,a-w-Á-l,"III (-а, -ес, -би) начало чего-л., гIалIос авал начало села; элIнос авал начало зимы ; буцес авал начало месяца","III (-а, -ес, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,21,22,АВÁЛ,a-w-Á-l,"III (-а, -ес, -би) 1) квар- тал 2) дом (асах. ); см. гъутку","III (-а, -ес, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,22,23,АВАЛ -АХЪ,a-w-a-l -a-χ-ʔ,"III (-йа, -йос, -йаби ) дом, хозяйство","III (-йа, -йос, -йаби )",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,23,24,АВÁНС,a-w-Á-n-s,"III (-ä//-йа, -йос, -йаби) аванс; авансйос мицхир аванс о- вые деньги; аванс бихъа получить аванс; аванс биса взять аванс; аванс нелIа давать аванс","III (-ä//-йа, -йос, -йаби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,24,25,АВÁР,a-w-Á-r,"аварский; авар театер аварский театр; авар мец авар- ский язык; авар миллат аварцы , аварская на ция; авар халкъ авар- ский народ; см. магIарул",,Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,25,26,АВÁР/А,a-w-Á-r-a,"III (-ā, -ас) помеха, пре- пона, препятствие; преграда; ава- ра āну нет препятствий (помех , преград ); авара бода а) мешать, создавать (чинить) препятстви е кому -л. б) утруждать, беспокоить кого-л.; создавать кому -л. хлопоты","III (-ā, -ас)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,26,27,АВАР ÁГ,a-w-a-r Á-ɡ,"I (-ä, -ес, -би) рел. про- рок; помазанник божий; патриарх; Адам авараг патриарх Адам ; ГIи- са авараг помазанник божий Иисус; МухIамад авараг пророк Мухамм ед; аварагес хIадисби ха- дисы про рока; аварагес суна тби сунны пророка Махаммеда; Ава- рагесно лъ’о но гьуни ричихоси погов . у пророка тоже бывает три пути","I (-ä, -ес, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,27,28,АВАРÁГЛЪ /И,a-w-a-r-Á-ɡ-l-ʔ i,"IV ( -ä, -ис) рел. 1) пророчество 2) наделённые Богом обязанности пророка","IV ( -ä, -ис)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,28,29,АВÁРИЙ/А,a-w-Á-r-i-j-a,"III ( -ā, -ас, -аби) авария; беже аварийа большая (крупная) авария; аварийа бохъа произойти ( об аварии ); аварийа бода совершить аварию; аварийа бодин чIей хIалтIизи бохъа рабо- тать без аварии; мок. авáрйа","III ( -ā, -ас, -аби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,29,30,АВГУ́СТ,a-w-ɡ-У́-s-t,"III (-ä, -ес//-ис, -би) ав- густ; очIиноäлIиру август девятое августа; августис савешанийа ав- густовское совещание; август бец ǟ в августе; в августе месяце; элуде август ǟ бих косих у нас в августе траву (сено) косят","III (-ä, -ес//-ис, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,30,31,АВЛÁХЪ,a-w-l-Á-χ-ʔ,"III (-йа, -йос, -би) 1) равнина, ровное место, степь; ги- башав авлахъ песчанная степь; беже ав лахъ большая равнина (степь), необозримая степь; ав- лахъкьо гIум ру бода жить на рав - нине (в степи) 2) глушь; неосвое н- ная земля, целина, залежь","III (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,31,32,АВТАМАБ И́Л,a-w-t-a-m-a-b И́-l,"III (-йа, -йос, -би) автомобиль; машина; эцIно авт а- мабил новый автомобиль; авта- мабилйос гьу ни автомобильная дорога ; автамабилйос маг азин автомобиль ный магазин; автам а- билйос завод автомобильный з а- вод; см. машина","III (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,32,33,АВТАМ ÁТ,a-w-t-a-m Á-t,"IV (-йа, -йос, -би) в разн. знач. 1) воен. автомат ( ору- жие); автаматйос патронби авто- матные патроны; автаматйазай 32 цалIа стрелять из автомата 2) т е- лефон -автомат 3) перен. болтун, говорун","IV (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,33,34,АВТОБ У́З,a-w-t-o-b У́-z,"III (-йа, -йос, -би) ав- тобус; бегъе автобуз маленький автобус; беже автобуз большой автобус; шагьарйос авт обуз го- родской автобус; автобузйос и с- танцийа автобус ная станция; ав- тобузйос шопир водитель автоб у- са; автобузкьо хIалтIизи охъа ра- ботать водителем автобуса; авто- бузйокь икIа ехать на автобусе","III (-йа, -йос, -би)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,34,35,АВТАР У́ЧКI/А,a-w-t-a-r У́-tʃ-k-a,"IV (-ā, -ас, -аби) авторучка; шʼакъимос автаручкIа авторучка ( чернильная ); автару ч- кIад цаха написать авторучкой; автаручкIай шʼа къи лъ ӣс в авт о- ручке закончились чернила","IV (-ā, -ас, -аби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,35,36,АВХI /О,a-w-χ o,"II (-ā, -ос, -оби) мок. мельни ца; см. горто, гIʼагъу , гIʼа- гъур","II (-ā, -ос, -оби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,36,37,АВХIÓКЬОС /И,a-w-χ-Ó-k-o-s i,"I, II (-ǟ, -ис, - иби) мок. мель ник; см. гьабигьан","I, II (-ǟ, -ис, - иби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,37,38,АГÁ́ЗН/И // АГÉЗН/И,a-ɡ-Á-́-z-n-i   a-ɡ-É-z-n-i,"IV (-ǟ, - ис, -иби) головокружение (дез- ориентация в пространстве ); агаз- ни бута произойти ( о головокр у- жении) ; ср. эзекIни ; см. азекIни","IV (-ǟ, - ис, -иби)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,38,39,АГАЧI/А,a-ɡ-a-tʃ-a,"(-их, -ис, -ин, -и) про- ясняться ( видение ), пророчить","(-их, -ис, -ин, -и)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,39,40,АГАЧIИР/А,a-ɡ-a-tʃ-i-r-a,"(-хо, -си, -ан, -ø) получить проя снение (подсказку) во сне; молIа агачIирси получил подсказку во сне («вещий сон»)","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,40,41,АГАЧIИР ЕР/А,a-ɡ-a-tʃ-i-r e-r-a,"(-хо, -си, -ан, -ø) понуд. от агачIира","(-хо, -си, -ан, -ø)",Maiia Alimova,Khalilov 2024,NaN
Tsez,dido1241,41,42,АГДÓР/И,a-ɡ-d-Ó-r-i,"II (-ǟ, -йос// -ис, - йаби ) оселок, точильный брусок; агдорйод т Iʼахъ регъада точить нож на бруске (букв. точить нож бруском) ÁГД/У II (-ā, -ус) бот. свербига восточная АГИТ ÁЦИЙ/А III (-ā, -ас, -аби) агитация; агитацийа бода вести агитацию, агитировать","II (-ǟ, -йос// -ис, - йаби )",Maiia Alimova,Khalilov 2024,NaN
